"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#__next>main>div.navigationBar_container__HYHTl>div.navigationBar_content__SCbVq>div.navigationBar_navItemsContainer__biurs>a>button.button_btn__GHDld.button_primary__4nNQn","8","Yes","13.79%"
"div#__next>main>div.meta_container__ljuVb>div.meta_locale__4d_x4","5","Yes","8.62%"
"div#__next>main>div.navigationBar_container__HYHTl>div.navigationBar_content__SCbVq>div.navigationBar_navItemsContainer__biurs>div.logo_logo__Lmme_>div.logo_text__nmFBz","4","Yes","6.90%"
"div#_hj_feedback_container>div._hj-XVgG4__ExpandedWidget__outerContainer._hj-2QRXQ__ExpandedWidget__right._hj-2nT32__ExpandedWidget__middle._hj-T080I__ExpandedWidget__slideInRight>div._hj-3PSb0__ExpandedWidget__innerContainer>div>div._hj-2eznZ__CommentStep__container>div._hj-nZWbx__EmotionComment__container>textarea._hj-2bByr__EmotionComment__textArea._hj-FAirH__styles__inputField","3","No","5.17%"
"div#__next>main>div.searchBar_searchBar__dy9_9>input.searchBar_input__RnvZX","3","Yes","5.17%"
"div#__next>main>div.meta_container__ljuVb>div.meta_locale__4d_x4>i.fa.fa-globe","3","Yes","5.17%"
"div#_hj_feedback_container>div._hj-XVgG4__ExpandedWidget__outerContainer._hj-2QRXQ__ExpandedWidget__right._hj-2nT32__ExpandedWidget__middle._hj-T080I__ExpandedWidget__slideInRight>div._hj-3PSb0__ExpandedWidget__innerContainer>div._hj-2CMqw__EmotionStep__EmotionStep>div._hj-1A3sC__EmotionStep__EmotionOptions>button._hj-1SWx9__EmotionOption__EmotionOption._hj-25c5E__EmotionOption__fadeIn>div._hj-1t1uU__EmotionOption__iconEmotion._hj-1_G1z__EmotionOption__love._hj-1Y1MP__EmotionOption__iconEmotionDefault._hj-3e6MN__styles__icon._hj-2rejd__EmotionOption__highlighted>span._hj-2OZKe__EmotionOption__expressionIcon","2","No","3.45%"
"html","2","No","3.45%"
"div#_hj_feedback_container>div._hj-XVgG4__ExpandedWidget__outerContainer._hj-2QRXQ__ExpandedWidget__right._hj-2nT32__ExpandedWidget__middle._hj-T080I__ExpandedWidget__slideInRight>div._hj-3PSb0__ExpandedWidget__innerContainer>div>div._hj-2eznZ__CommentStep__container>div._hj-15TqQ__CommentStep__footer>button._hj-qnMJa__styles__primaryButton","2","No","3.45%"
"div#__next>main>div.marquee_suggestions__HW_rE>div.marquee_marqueeContainer__5rJ6o (1)","2","Yes","3.45%"
"div#__next>main>div.meta_container__ljuVb>div.meta_left__IkG_X>div.meta_locale__4d_x4","2","Yes","3.45%"
