"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.listingPage_descArea__o_wGQ>div>p.listingPage_description__WJUzj","8","Yes","19.51%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>p (2)","5","Yes","12.20%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.listingPage_descArea__o_wGQ>div>div.listingPage_details__g975X","5","Yes","12.20%"
"div#__next>main>div.navigationBar_container__HYHTl>div.navigationBar_content__SCbVq>div.navigationBar_navItemsContainer__biurs>div.logo_logo__Lmme_>div.logo_text__nmFBz","4","Yes","9.76%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.map_mapArea__Ql5NR>div>div>div.gm-style>div>div.gmnoprint.gm-bundled-control.gm-bundled-control-on-bottom>div.gmnoprint>div>button.gm-control-active (3)","3","Yes","7.32%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.map_mapArea__Ql5NR>div>div>div.gm-style>div>div.gmnoprint.gm-bundled-control.gm-bundled-control-on-bottom>div.gmnoprint>div>button.gm-control-active (4)","3","Yes","7.32%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.listingPage_descArea__o_wGQ>div","2","Yes","4.88%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.listingPage_descArea__o_wGQ>div>div.listingPage_details__g975X>b","2","Yes","4.88%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.listingPage_descArea__o_wGQ>img.listingPage_image__Axxgt","2","Yes","4.88%"
"#__next","2","Yes","4.88%"
"div#__next>main>div.navigationBar_container__HYHTl>div.navigationBar_content__SCbVq>div.navigationBar_navItemsContainer__biurs>div.logo_logo__Lmme_","1","Yes","2.44%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>div.map_mapArea__Ql5NR>div>div>div.gm-style>div>div (1)","1","Yes","2.44%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>p","1","Yes","2.44%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>p (1)","1","Yes","2.44%"
"div#__next>main>div.listingPage_container__tuZI8>div.listingPage_innerContainer___MWLY>p>a>b>u (1)","1","No","2.44%"
